,PM10_Canoas
PM10_Canoas,1.0
winter_intensity_index,0.9845038372589613
pm10_anomaly,0.9032216803322461
seasonal_anomaly,0.8994818714552913
pm10_normalized_monthly,0.8745340099144802
PM10_Canoas_roll_mean_3,0.8296251512093196
PM10_Canoas_lag1,0.6729593215436096
PM10_Canoas_lag_1,0.6729593215436096
PM10_Canoas_roll_mean_7,0.6314690818041296
temp_x_pm10lag1,0.6311342863595726
PM10_Canoas_roll_mean_14,0.5767459090136663
PM10_Canoas_roll_mean_30,0.5204374272587237
pm10_ratio_3_30,0.5060006372271794
PM10_Canoas_roll_std_14,0.49872163118495266
pm10_diff_3_30,0.492650838054697
PM10_Canoas_roll_std_30,0.4649627386621566
PM10_Canoas_roll_std_7,0.4630184566257033
PM10_Canoas_lag_2,0.45879869434490184
PM10_Canoas_lag2,0.45879869434490184
PM10_Canoas_roll_std_3,0.43010458920542016
winter_mean_year,0.32704984322916264
is_winter,0.3238881069047325
season_winter,0.3238881069047325
PM10_Canoas_lag_3,0.3168308396756855
PM10_Canoas_lag3,0.3168308396756855
winter_x_umidade,0.3020088326006879
NO2_Canoas,0.26683792970591264
CO_Canoas,0.22136246021659223
internacoes_respiratorias,0.2187354182300485
PM10_Canoas_lag_7,0.2066409075991576
PM10_Canoas_lag7,0.2066409075991576
dry_streak,0.17600932754112805
winter_x_vento,0.14814203499204112
precip_roll_sum_30,0.13456891872825524
SO2_Canoas,0.12595267128293866
corr_temperatura_pm10,0.07196834864104533
frota_index,0.06212329910565646
year,0.06083086022644013
dayofweek,0.05089734377189948
weekday,0.05089734377189948
is_weekend,0.04241121971211738
O3_Canoas,0.03938621396651765
dispersao_rel,0.012431491590437674
temperatura,0.010390711157886794
corr_umidade_pm10,0.0078061601349212
quarter,0.0006290956416909416
focos_queimadas_frp_mean,-0.020554002060212045
focos_queimadas_frp_max,-0.020800431930053043
focos_queimadas_count,-0.02352162394157286
focos_queimadas_frp_sum,-0.023558639959119627
sin_dayofyear,-0.034145134526591125
dayofyear,-0.03893593922970401
month,-0.039788411435957224
vento_direcao,-0.04841580879184226
temperatura_orvalho,-0.06215826852408876
heavy_rain_event,-0.07298627750171713
temp_x_umid,-0.07324673667464199
season_summer,-0.0811108965103231
corr_vento_velocidade_pm10,-0.09614080708679523
precipitacao,-0.10223012522209432
precip_roll_sum_7,-0.10528422443222402
season_autumn,-0.11487408727850595
umidade,-0.13082871295292697
dispersao_index,-0.145714422058949
season_spring,-0.14892706882697956
cos_dayofyear,-0.24719271473969487
temp_x_vento,-0.2690700570284674
vento_velocidade,-0.403277048630448
vento_log,-0.4306811610572426
frota_centered,
has_target,
gap_len,
is_long_gap,
