feature,mean,std,min,max,non_null
CO_Canoas,1.2467309950138525,0.7466195986300942,0.08,3.72,766
NO2_Canoas,9.592628713315193,6.793123371592574,0.47,48.39958333333333,1631
O3_Canoas,26.62748860936659,11.760541800769015,0.98,91.75083333333332,1632
SO2_Canoas,10.102214655174794,10.15756835692307,0.65,212.09458333333336,1631
PM10_Canoas,18.49124560571379,10.964981668438943,5.74375,88.27,902
precipitacao,0.18162739937342132,0.48562763848459656,0.0,5.258333333333334,1827
temperatura,20.05127293885464,4.740961842641195,6.629166666666666,31.004166666666663,1827
temperatura_orvalho,15.297406004047462,4.377604989315157,0.6791666666666667,24.579166666666666,1827
umidade,76.20174832248713,9.134701547598468,44.5,97.0,1827
vento_direcao,158.83260624298097,47.27208579493649,79.08333333333333,306.5416666666667,1827
vento_velocidade,1.4760640073123361,0.48617352868178315,0.5791666666666667,3.6666666666666665,1827
internacoes_respiratorias,26.803503010399563,9.771072960873552,7.67741935483871,45.833333333333336,1827
focos_queimadas_count,0.004378762999452655,0.080947868692051,0.0,2.0,1827
focos_queimadas_frp_sum,0.06934865900383141,1.3509567266072982,0.0,37.3,1827
focos_queimadas_frp_mean,0.05410509031198686,1.0881403420813804,0.0,37.3,1827
focos_queimadas_frp_max,0.05681444991789819,1.1295839215217334,0.0,37.3,1827
dayofyear,183.20032840722496,105.51094761023381,1,366,1827
month,6.521072796934866,3.450156646547563,1,12,1827
quarter,2.507936507936508,1.117577110706992,1,4,1827
dayofweek,3.0,2.000547570167686,0,6,1827
is_weekend,0.2857142857142857,0.45187763494610056,0,1,1827
year,2022.0,1.4153748163492772,2020,2024,1827
sin_dayofyear,1.884330175786206e-05,0.7069133621709615,-0.9999907397361901,0.9999907397361901,1827
cos_dayofyear,0.0010945285596158615,0.7076863320045106,-0.9999629591162655,1.0,1827
PM10_Canoas_lag_1,18.714728744883416,10.946834810659999,5.74375,88.27,1015
PM10_Canoas_lag_2,18.73088356033284,10.94213617785765,5.74375,88.27,1015
PM10_Canoas_lag_3,18.74395093735861,10.940190119508285,5.74375,88.27,1015
PM10_Canoas_lag_7,18.775293105560223,10.940109916644305,5.74375,88.27,1015
weekday,3.0,2.000547570167686,0,6,1827
is_winter,0.25177887246852765,0.4341537062729961,0,1,1827
season_autumn,0.25177887246852765,0.43415370627299615,False,True,1827
season_spring,0.24904214559386972,0.4325766706473941,False,True,1827
season_summer,0.24740010946907498,0.43161934983782174,False,True,1827
