,mean_abs_diff
temp_x_pm10lag1,90.33822736509717
dayofyear,11.688999326145563
O3_Canoas,6.372787547582838
temp_x_vento,5.957667951116296
vento_direcao,5.658275332608639
pm10_anomaly,3.1626240866544695
temperatura,2.974682071741274
SO2_Canoas,2.7111061674987376
NO2_Canoas,2.602853910040567
temperatura_orvalho,2.4381163709564273
PM10_Canoas_roll_mean_30,1.9452629597953113
umidade,1.8971707486829956
PM10_Canoas_roll_mean_14,1.522212900014857
PM10_Canoas_lag_7,1.5041110330651826
PM10_Canoas_lag_1,1.3722106104129885
PM10_Canoas_lag_2,1.3717828415488036
PM10_Canoas_lag_3,1.3117671978530794
PM10_Canoas_roll_mean_3,1.3112383029634707
PM10_Canoas_roll_mean_7,1.2667167109530872
precip_roll_sum_30,0.9766825161228012
PM10_Canoas_roll_std_3,0.9696021716531007
pm10_diff_3_30,0.8307177226811653
PM10_Canoas_roll_std_7,0.6235258848933025
cos_dayofyear,0.5455912568715023
internacoes_respiratorias,0.4598614135823702
PM10_Canoas_roll_std_14,0.41469298724614045
winter_x_vento,0.33980451812082507
is_winter,0.2643867924528302
winter_mean_year,0.23227668339050211
dry_streak,0.20077493261455537
pm10_normalized_monthly,0.19026663755024864
CO_Canoas,0.16310513572496133
corr_temperatura_pm10,0.1378237612919312
winter_intensity_index,0.10614714795031432
vento_velocidade,0.08419041986154552
sin_dayofyear,0.07067761975708522
dayofweek,0.07021563342318027
pm10_ratio_3_30,0.061979785131716425
quarter,0.05849056603773617
corr_umidade_pm10,0.05718924445396423
dispersao_index,0.04138467065870044
PM10_Canoas_roll_std_30,0.04134632414827877
dispersao_rel,0.03619060381076744
focos_queimadas_frp_mean,0.03369272237196765
frota_index,0.03356330735248747
corr_vento_velocidade_pm10,0.022870976933387688
precip_roll_sum_7,0.02246522691316022
precipitacao,0.015910271153170036
heavy_rain_event,0.015464959568733158
is_weekend,0.007159703504043102
focos_queimadas_count,0.004043126684636119
frota_centered,0.0
